date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-10-27,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-27 [archive import: scored retroactively, not a live reading]",2021-10-27,scoring
2021-10-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-28 [archive import: scored retroactively, not a live reading]",2021-10-28,scoring
2021-10-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-29 [archive import: scored retroactively, not a live reading]",2021-10-29,scoring
2021-11-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-01 [archive import: scored retroactively, not a live reading]",2021-11-01,scoring
2021-11-02,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-02 [archive import: scored retroactively, not a live reading]",2021-11-02,scoring
2021-11-03,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-03 [archive import: scored retroactively, not a live reading]",2021-11-03,scoring
2021-11-04,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-04 [archive import: scored retroactively, not a live reading]",2021-11-04,scoring
2021-11-05,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-05 [archive import: scored retroactively, not a live reading]",2021-11-05,scoring
2021-11-08,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-08 [archive import: scored retroactively, not a live reading]",2021-11-08,scoring
2021-11-09,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-09 [archive import: scored retroactively, not a live reading]",2021-11-09,scoring
2021-11-10,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-10 [archive import: scored retroactively, not a live reading]",2021-11-10,scoring
2021-11-12,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-12 [archive import: scored retroactively, not a live reading]",2021-11-12,scoring
2021-11-15,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-15 [archive import: scored retroactively, not a live reading]",2021-11-15,scoring
