date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-01-15,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-15,scoring
2021-01-16,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-16,scoring
2021-01-17,3.4,0.136,0,up,"Bitstamp settled daily close, worst 3.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-17,scoring
2021-01-18,2.5,0.100,0,up,"Bitstamp settled daily close, worst 2.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-18,scoring
2021-01-19,0.3,0.012,0,up,"Bitstamp settled daily close, worst 0.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-19,scoring
2021-01-20,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-20,scoring
2021-01-21,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-21,scoring
2021-01-22,9.6,0.384,0,up,"Bitstamp settled daily close, worst 9.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-22,scoring
2021-01-23,0.4,0.016,0,up,"Bitstamp settled daily close, worst 0.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-23,scoring
2021-01-24,0.7,0.028,0,up,"Bitstamp settled daily close, worst 0.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-24,scoring
2021-01-25,0.8,0.032,0,up,"Bitstamp settled daily close, worst 0.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-25,scoring
2021-01-26,0.3,0.012,0,up,"Bitstamp settled daily close, worst 0.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-26,scoring
2021-01-27,1.1,0.044,0,up,"Bitstamp settled daily close, worst 1.1bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-27,scoring
2021-01-28,5.7,0.228,0,up,"Bitstamp settled daily close, worst 5.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-28,scoring
