date,component,value
2026-01-07,Korea Strait,190
2026-01-07,Lombok Strait,45
2026-01-07,Luzon Strait,60
2026-01-07,Magellan Strait,1
2026-01-07,Makassar Strait,44
2026-01-07,Malacca Strait,251
2026-01-07,Mindoro Strait,45
2026-01-07,Mona Passage,10
2026-01-07,Ombai Strait,11
2026-01-07,Oresund Strait,44
2026-01-07,Panama Canal,32
2026-01-07,Strait of Hormuz,88
2026-01-07,Suez Canal,29
2026-01-07,Sunda Strait,52
2026-01-07,Taiwan Strait,195
2026-01-07,Torres Strait,9
2026-01-07,Tsugaru Strait,40
2026-01-07,Windward Passage,15
2026-01-07,Yucatan Channel,44
2026-01-08,Bab el-Mandeb Strait,31
2026-01-08,Balabac Strait,6
2026-01-08,Bering Strait,0
2026-01-08,Bohai Strait,162
2026-01-08,Bosporus Strait,75
2026-01-08,Cape of Good Hope,100
2026-01-08,Dover Strait,156
2026-01-08,Gibraltar Strait,121
2026-01-08,Kerch Strait,13
2026-01-08,Korea Strait,181
2026-01-08,Lombok Strait,33
2026-01-08,Luzon Strait,55
2026-01-08,Magellan Strait,3
2026-01-08,Makassar Strait,57
2026-01-08,Malacca Strait,218
2026-01-08,Mindoro Strait,37
2026-01-08,Mona Passage,11
2026-01-08,Ombai Strait,11
2026-01-08,Oresund Strait,44
2026-01-08,Panama Canal,34
2026-01-08,Strait of Hormuz,75
2026-01-08,Suez Canal,43
2026-01-08,Sunda Strait,44
2026-01-08,Taiwan Strait,185
2026-01-08,Torres Strait,5
2026-01-08,Tsugaru Strait,24
2026-01-08,Windward Passage,16
2026-01-08,Yucatan Channel,51
2026-01-09,Bab el-Mandeb Strait,36
2026-01-09,Balabac Strait,9
2026-01-09,Bering Strait,0
2026-01-09,Bohai Strait,170
2026-01-09,Bosporus Strait,81
2026-01-09,Cape of Good Hope,98
2026-01-09,Dover Strait,174
2026-01-09,Gibraltar Strait,107
2026-01-09,Kerch Strait,4
2026-01-09,Korea Strait,185
2026-01-09,Lombok Strait,38
2026-01-09,Luzon Strait,79
2026-01-09,Magellan Strait,6
2026-01-09,Makassar Strait,48
2026-01-09,Malacca Strait,228
2026-01-09,Mindoro Strait,36
2026-01-09,Mona Passage,8
2026-01-09,Ombai Strait,7
2026-01-09,Oresund Strait,50
2026-01-09,Panama Canal,32
2026-01-09,Strait of Hormuz,89
2026-01-09,Suez Canal,39
2026-01-09,Sunda Strait,37
2026-01-09,Taiwan Strait,235
2026-01-09,Torres Strait,3
2026-01-09,Tsugaru Strait,28
2026-01-09,Windward Passage,14
2026-01-09,Yucatan Channel,42
2026-01-10,Bab el-Mandeb Strait,35
2026-01-10,Balabac Strait,11
2026-01-10,Bering Strait,0
2026-01-10,Bohai Strait,105
2026-01-10,Bosporus Strait,43
2026-01-10,Cape of Good Hope,90
2026-01-10,Dover Strait,136
2026-01-10,Gibraltar Strait,122
2026-01-10,Kerch Strait,7
2026-01-10,Korea Strait,109
2026-01-10,Lombok Strait,36
2026-01-10,Luzon Strait,67
2026-01-10,Magellan Strait,4
2026-01-10,Makassar Strait,44
2026-01-10,Malacca Strait,224
2026-01-10,Mindoro Strait,42
2026-01-10,Mona Passage,13
2026-01-10,Ombai Strait,6
2026-01-10,Oresund Strait,45
2026-01-10,Panama Canal,32
2026-01-10,Strait of Hormuz,83
2026-01-10,Suez Canal,35
2026-01-10,Sunda Strait,29
2026-01-10,Taiwan Strait,224
2026-01-10,Torres Strait,1
2026-01-10,Tsugaru Strait,23
2026-01-10,Windward Passage,17
2026-01-10,Yucatan Channel,46
2026-01-11,Bab el-Mandeb Strait,38
2026-01-11,Balabac Strait,13
2026-01-11,Bering Strait,0
2026-01-11,Bohai Strait,161
2026-01-11,Bosporus Strait,100
2026-01-11,Cape of Good Hope,93
2026-01-11,Dover Strait,175
2026-01-11,Gibraltar Strait,121
2026-01-11,Kerch Strait,10
2026-01-11,Korea Strait,168
2026-01-11,Lombok Strait,40
2026-01-11,Luzon Strait,62
2026-01-11,Magellan Strait,4
2026-01-11,Makassar Strait,48
2026-01-11,Malacca Strait,249
2026-01-11,Mindoro Strait,40
2026-01-11,Mona Passage,7
2026-01-11,Ombai Strait,10
2026-01-11,Oresund Strait,44
2026-01-11,Panama Canal,33
2026-01-11,Strait of Hormuz,83
2026-01-11,Suez Canal,35
2026-01-11,Sunda Strait,37
2026-01-11,Taiwan Strait,233
2026-01-11,Torres Strait,15
2026-01-11,Tsugaru Strait,12
2026-01-11,Windward Passage,18
2026-01-11,Yucatan Channel,58
2026-01-12,Bab el-Mandeb Strait,39
2026-01-12,Balabac Strait,14
2026-01-12,Bering Strait,0
2026-01-12,Bohai Strait,159
2026-01-12,Bosporus Strait,66
2026-01-12,Cape of Good Hope,99
2026-01-12,Dover Strait,197
2026-01-12,Gibraltar Strait,117
2026-01-12,Kerch Strait,10
2026-01-12,Korea Strait,211
2026-01-12,Lombok Strait,41
2026-01-12,Luzon Strait,80
2026-01-12,Magellan Strait,3
2026-01-12,Makassar Strait,58
2026-01-12,Malacca Strait,254
2026-01-12,Mindoro Strait,33
2026-01-12,Mona Passage,14
2026-01-12,Ombai Strait,9
2026-01-12,Oresund Strait,50
2026-01-12,Panama Canal,31
2026-01-12,Strait of Hormuz,67
2026-01-12,Suez Canal,36
2026-01-12,Sunda Strait,29
2026-01-12,Taiwan Strait,214
2026-01-12,Torres Strait,9
2026-01-12,Tsugaru Strait,18
2026-01-12,Windward Passage,18
2026-01-12,Yucatan Channel,41
2026-01-13,Bab el-Mandeb Strait,31
2026-01-13,Balabac Strait,9
2026-01-13,Bering Strait,1
