date,component,value
2026-09-11,AU,0.9999
2026-09-11,AZ,1.0325
2026-09-11,BA,0.9988
2026-09-11,BD,0.9985
2026-09-11,BE,1.0012
2026-09-11,BF,1.0016
2026-09-11,BG,1.0009
2026-09-11,BH,1
2026-09-11,BJ,1
2026-09-11,BN,1.0092
2026-09-11,BO,0.9949
2026-09-11,BR,0.9977
2026-09-11,BS,1
2026-09-11,BW,1
2026-09-11,BY,0.9998
2026-09-11,CA,0.9996
2026-09-11,CG,0.783
2026-09-11,CH,0.9998
2026-09-11,CI,1.0031
2026-09-11,CL,1.0164
2026-09-11,CM,0.9988
2026-09-11,CN,1
2026-09-11,CO,0.9981
2026-09-11,CR,0.9996
2026-09-11,CU,1
2026-09-11,CW,1
2026-09-11,CY,1.0003
2026-09-11,CZ,0.9999
2026-09-11,DE,0.9999
2026-09-11,DK,1.0003
2026-09-11,DO,0.9999
2026-09-11,DZ,1
2026-09-11,EC,1.0006
2026-09-11,EE,0.9995
2026-09-11,EG,0.9999
2026-09-11,ES,1.0019
2026-09-11,ET,1
2026-09-11,FI,0.998
2026-09-11,FJ,1
2026-09-11,FR,1.0001
2026-09-11,GA,1
2026-09-11,GB,0.9961
2026-09-11,GE,1.0022
2026-09-11,GH,1.0004
2026-09-11,GM,0.9991
2026-09-11,GP,1
2026-09-11,GR,0.9976
2026-09-11,GT,1.0007
2026-09-11,GU,1
2026-09-11,HK,1.0053
2026-09-11,HN,0.9974
2026-09-11,HR,0.9999
2026-09-11,HT,1
2026-09-11,HU,0.9996
2026-09-11,ID,0.9984
2026-09-11,IE,1.0003
2026-09-11,IL,1.0038
2026-09-11,IN,0.9966
2026-09-11,IQ,0.9968
2026-09-11,IR,1.0015
2026-09-11,IS,0.9997
2026-09-11,IT,0.9967
2026-09-11,JM,0.9992
2026-09-11,JO,1.0017
2026-09-11,JP,1
2026-09-11,KE,0.9998
2026-09-11,KG,0.9991
2026-09-11,KH,0.9994
2026-09-11,KR,1.0003
2026-09-11,KW,0.9992
2026-09-11,KZ,1.0068
2026-09-11,LB,0.9992
2026-09-11,LK,1.0009
2026-09-11,LS,1
2026-09-11,LT,0.9965
2026-09-11,LU,0.9994
2026-09-11,LV,0.9995
2026-09-11,LY,0.9994
2026-09-11,MA,1
2026-09-11,MD,0.9966
2026-09-11,ME,1
2026-09-11,MG,0.9996
2026-09-11,MK,0.9921
2026-09-11,MM,0.9937
2026-09-11,MN,0.9986
2026-09-11,MO,0.9991
2026-09-11,MQ,1
2026-09-11,MT,1
2026-09-11,MU,0.999
2026-09-11,MW,0.9967
2026-09-11,MX,0.9984
2026-09-11,MY,1.0004
2026-09-11,MZ,0.9979
2026-09-11,NA,1
2026-09-11,NC,1
2026-09-11,NG,0.9739
2026-09-11,NI,1.0007
2026-09-11,NL,1.0018
2026-09-11,NO,1
2026-09-11,NP,1.0034
2026-09-11,NZ,0.9952
2026-09-11,OM,1
2026-09-11,PA,0.9991
2026-09-11,PE,1.0002
2026-09-11,PH,1.0023
2026-09-11,PK,0.9996
2026-09-11,PL,0.9987
2026-09-11,PR,0.9996
2026-09-11,PS,1.0008
2026-09-11,PT,1.0001
2026-09-11,PY,1
2026-09-11,QA,1
2026-09-11,RE,1
2026-09-11,RO,1
2026-09-11,RS,0.9982
2026-09-11,RU,0.9997
2026-09-11,RW,0.999
2026-09-11,SA,1.0003
2026-09-11,SC,1.0018
2026-09-11,SD,0.9984
2026-09-11,SE,1.0002
2026-09-11,SG,1.0031
2026-09-11,SI,1
2026-09-11,SK,0.9999
2026-09-11,SN,0.992
2026-09-11,SV,1.0004
2026-09-11,SY,0.9725
2026-09-11,TG,1.0018
2026-09-11,TH,0.9996
2026-09-11,TN,1
2026-09-11,TR,0.9999
2026-09-11,TT,1
2026-09-11,TW,1
2026-09-11,TZ,1
2026-09-11,UA,0.9965
2026-09-11,UG,1.0001
2026-09-11,US,1.0018
2026-09-11,UY,1.0001
2026-09-11,UZ,1.0007
2026-09-11,VE,0.9926
2026-09-11,VI,1
2026-09-11,VN,0.9998
2026-09-11,YE,0.999
2026-09-11,ZA,0.9983
2026-09-11,ZM,1
2026-09-11,ZW,0.9904
2026-09-12,AE,0.9997
2026-09-12,AF,0.9815
2026-09-12,AL,0.9991
2026-09-12,AM,1
2026-09-12,AO,1.0001
2026-09-12,AR,0.9999
2026-09-12,AT,1.0003
2026-09-12,AU,0.9999
2026-09-12,AZ,1.0325
2026-09-12,BA,0.9988
2026-09-12,BD,0.9988
2026-09-12,BE,1.001
2026-09-12,BF,1.0017
2026-09-12,BG,1.0013
2026-09-12,BH,0.9994
2026-09-12,BJ,0.9983
2026-09-12,BN,1.0111
2026-09-12,BO,0.9947
2026-09-12,BR,1.0219
2026-09-12,BS,1
2026-09-12,BW,1
2026-09-12,BY,0.9999
2026-09-12,CA,0.9997
2026-09-12,CG,0.9991
2026-09-12,CH,1.0003
2026-09-12,CI,1.0031
2026-09-12,CL,1.0171
2026-09-12,CM,0.9989
2026-09-12,CN,1.0001
2026-09-12,CO,0.9954
2026-09-12,CR,1
2026-09-12,CU,1
2026-09-12,CW,1
2026-09-12,CY,1
2026-09-12,CZ,1
2026-09-12,DE,1
2026-09-12,DK,1.0003
2026-09-12,DO,0.9993
2026-09-12,DZ,1
2026-09-12,EC,1.0006
2026-09-12,EE,0.9994
2026-09-12,EG,1
2026-09-12,ES,1.002
2026-09-12,ET,1
2026-09-12,FI,0.9983
2026-09-12,FJ,1
2026-09-12,FR,1.0001
2026-09-12,GA,0.9581
2026-09-12,GB,0.9961
2026-09-12,GE,1.002
2026-09-12,GH,0.9982
2026-09-12,GM,0.9998
2026-09-12,GP,1
2026-09-12,GR,0.9975
2026-09-12,GT,1.0007
2026-09-12,GU,1
2026-09-12,HK,1.0049
2026-09-12,HN,0.9988
2026-09-12,HR,0.9999
2026-09-12,HT,1
2026-09-12,HU,0.9997
2026-09-12,ID,0.999
2026-09-12,IE,1
2026-09-12,IL,1.0041
2026-09-12,IN,0.9968
2026-09-12,IQ,0.9968
2026-09-12,IR,0.9978
2026-09-12,IS,0.9997
2026-09-12,IT,0.9967
2026-09-12,JM,0.9992
2026-09-12,JO,1.0016
2026-09-12,JP,0.9993
2026-09-12,KE,0.9974
2026-09-12,KG,0.9996
2026-09-12,KH,1.0006
2026-09-12,KR,1.0003
2026-09-12,KW,0.9993
2026-09-12,KZ,1.0075
2026-09-12,LB,0.9992
2026-09-12,LK,1.0009
2026-09-12,LS,1
2026-09-12,LT,0.9998
2026-09-12,LU,0.9996
2026-09-12,LV,0.9992
2026-09-12,LY,0.9998
2026-09-12,MA,1
2026-09-12,MD,1.0001
2026-09-12,ME,1
2026-09-12,MG,0.9996
2026-09-12,MK,1
2026-09-12,MM,0.9977
2026-09-12,MN,0.9986
2026-09-12,MO,0.9993
2026-09-12,MQ,1
2026-09-12,MT,1
2026-09-12,MU,0.9994
2026-09-12,MW,1
2026-09-12,MX,0.9981
2026-09-12,MY,1.0009
2026-09-12,MZ,0.9989
2026-09-12,NA,1
2026-09-12,NC,1
2026-09-12,NG,0.9682
2026-09-12,NI,1.0007
2026-09-12,NL,1.0018
2026-09-12,NO,0.9999
2026-09-12,NP,1.0033
2026-09-12,NZ,0.9952
2026-09-12,OM,1
2026-09-12,PA,0.9985
2026-09-12,PE,0.9972
2026-09-12,PH,1.0014
2026-09-12,PK,0.9997
2026-09-12,PL,0.9994
2026-09-12,PR,0.9998
2026-09-12,PS,1.0006
2026-09-12,PT,1.0001
2026-09-12,PY,1
2026-09-12,QA,1
2026-09-12,RE,1
2026-09-12,RO,1
2026-09-12,RS,0.9981
2026-09-12,RU,0.9996
2026-09-12,RW,0.9985
2026-09-12,SA,1.0001
2026-09-12,SC,1
2026-09-12,SD,1
2026-09-12,SE,1.0002
2026-09-12,SG,1.0022
2026-09-12,SI,1.0001
2026-09-12,SK,1
2026-09-12,SN,0.9994
2026-09-12,SV,1.0004
2026-09-12,SY,0.9824
2026-09-12,TG,1.0018
2026-09-12,TH,0.9995
2026-09-12,TN,1
2026-09-12,TR,0.998
2026-09-12,TT,1
2026-09-12,TW,1
2026-09-12,TZ,1
2026-09-12,UA,0.9972
2026-09-12,UG,0.9988
2026-09-12,US,1.0009
2026-09-12,UY,0.9999
2026-09-12,UZ,1.0007
2026-09-12,VE,0.9929
2026-09-12,VI,1
2026-09-12,VN,0.9999
2026-09-12,YE,1
2026-09-12,ZA,1
2026-09-12,ZM,1
2026-09-12,ZW,1
2026-09-13,AE,0.9997
2026-09-13,AF,0.9812
2026-09-13,AL,1
2026-09-13,AM,0.9977
2026-09-13,AO,1.0001
2026-09-13,AR,1
2026-09-13,AT,1.0002
2026-09-13,AU,0.9999
2026-09-13,AZ,1.0329
2026-09-13,BA,1
2026-09-13,BD,0.9993
2026-09-13,BE,1.0005
2026-09-13,BF,1.0013
